x,y
0.2,0.14002243346032683
0.25,-0.32711649866768305
0.3,-0.6187330646833691
0.35,-0.7928130121518452
0.4,-0.9238219577212823
0.45,-1.004504475859582
0.5,-1.063226919308744
0.55,-1.10429038676468
0.6,-1.1190193400208674
0.65,-1.1352645233844536
0.7,-1.1414716190690435
0.75,-1.1394398025958514
0.8,-1.1451388560930484
0.85,-1.1411533192309775
0.9,-1.129266438888005
0.95,-1.119518855140352
1.0,-1.1095290985739632
1.05,-1.0995758158199946
1.1,-1.0853465127090065
1.15,-1.0743834166210366
1.2,-1.063420320533067
1.25,-1.052544233144208
1.3,-1.0451819986645352
1.35,-1.0342683114343068
1.4,-1.0236165526976033
1.45,-1.0166793443137692
1.5,-1.006429324211683
1.55,-0.9997006051172849
1.6,-0.9933961121619872
1.65,-0.9869911632997113
1.7,-0.9810193084692341
1.75,-0.9753975314423078
1.8,-0.970130913528449
1.85,-0.9678723995523884
1.9,-0.9635210536996024
1.95,-0.9613137088962908
2.0,-0.9582074537144878
2.05,-0.9544783676258953
2.1,-0.9537689544241402
2.15,-0.9523972204675956
2.2,-0.9509763220816116
2.25,-0.9491605797351752
2.3,-0.9435014710002994
2.35,-0.9481588462156367
2.4,-0.9456457925253
2.45,-0.9464177482743003
2.5,-0.9436883865519119
2.55,-0.944372032942604
2.6,-0.9448847677356234
2.65,-0.9418542501323549
2.7,-0.9422799277289076
2.75,-0.9424501987675286
2.8,-0.9428758763640813
2.85,-0.9430461474027022
